id;text;has_family;has_name;has_passport;has_inn;has_snils;has_card;has_phone;has_url;has_marriage_cert;has_cadastral
11;В обращении указаны паспорт 9247 304715, кадастровый номер 13:60:916745:8316, телефон +7-942-460-20-56 и URL https://secure.company.ru/cabinet владельца Марина Попова.;1;1;1;0;0;0;1;1;0;1
12;Собственник Евграф Гордеевич сообщил кадастровый номер 64:13:902144:7258 и СНИЛС 535-412-012 23 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
13;Представитель Котова Евдокия предоставил свидетельство о браке 98-886476 и СНИЛС 493-403-910 35 для проверки договора.;1;1;0;0;1;0;0;0;1;0
14;"Клиент Феофанович Карл идентифицирован по паспорту 3400 147924 и ИНН 561006799006; связь поддерживается по телефону +7-905-896-99-40.";1;1;1;1;0;0;1;0;0;0
15;Представитель Ситников Юрий предоставил свидетельство о браке 57-330628 и СНИЛС 290-292-334 42 для проверки договора.;1;1;0;0;1;0;0;0;1;0
16;"В журнале регистраций брак подтверждён свидетельством 25-552407; контактные данные Модест Устинов и паспорт 8479 450311.";1;1;1;0;0;0;0;0;1;0
17;Анкета офиса: Тимур Карпов, ИНН 818970591611, номер карты 7216 8800 5378 9318, контактный телефон +7-975-420-82-69, сайт https://service.service.ru/cabinet.;1;1;0;1;0;1;1;1;0;0
18;Контакт Владленович Лучезар подтвердил перевод на карту 3281 1659 9302 0203 и прислал ИНН 018227200283 для квитанции.;1;1;0;1;0;1;0;0;0;0
19;Анкета офиса: Карл Чернов, ИНН 213530281650, номер карты 9198 3210 2916 1746, контактный телефон +7-958-570-55-60, сайт https://secure.company.ru/cabinet.;1;1;0;1;0;1;1;1;0;0
20;Собственник Коновалова Раиса сообщил кадастровый номер 40:78:907623:3090 и СНИЛС 670-805-685 53 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
21;Собственник Аким Трофимович сообщил кадастровый номер 29:26:686893:5552 и СНИЛС 114-243-625 83 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
22;В обращении указаны паспорт 3195 855148, кадастровый номер 77:65:500878:1042, телефон +7-992-373-57-69 и URL https://service.shop.com/cabinet владельца Юрьевна Фаина.;1;1;1;0;0;0;1;1;0;1
23;"В журнале регистраций брак подтверждён свидетельством 34-782271; контактные данные Прокл Воронцов и паспорт 4418 393975.";1;1;1;0;0;0;0;0;1;0
24;В регистрационной форме указано: Лариса Романовна, паспорт 7806 956244, телефон +7-915-181-57-80, URL личного кабинета https://www.company.com/cabinet, СНИЛС 100-817-852 18.;1;1;1;0;1;0;1;1;0;0
25;Собственник Дарья Макаровна сообщил кадастровый номер 30:74:825928:2023 и СНИЛС 337-014-005 19 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
26;Собственник Игорь Захарьевич сообщил кадастровый номер 29:46:336455:2117 и СНИЛС 862-092-973 44 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
27;Собственник Ефремова Маргарита сообщил кадастровый номер 34:17:252199:3438 и СНИЛС 269-718-236 04 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
28;"Клиент Герасимович Никита идентифицирован по паспорту 3502 248514 и ИНН 280194425892; связь поддерживается по телефону +7-947-771-16-59.";1;1;1;1;0;0;1;0;0;0
29;"Клиент Власович Венедикт идентифицирован по паспорту 2175 330426 и ИНН 626084639756; связь поддерживается по телефону +7-922-741-94-18.";1;1;1;1;0;0;1;0;0;0
30;Агент Герасимович Артемий сообщил о семейном статусе по свидетельству 50-807736, предоставил карту 7609 8731 2677 3192 и кадастровый номер 98:04:582745:5557.;1;1;0;0;0;1;0;0;1;1
31;В регистрационной форме указано: Кошелева Екатерина, паспорт 9690 660741, телефон +7-929-227-28-15, URL личного кабинета https://www.company.ru/cabinet, СНИЛС 165-430-895 23.;1;1;1;0;1;0;1;1;0;0
32;"Клиент Альбертовна Мария идентифицирован по паспорту 8131 620525 и ИНН 649797416365; связь поддерживается по телефону +7-989-325-70-35.";1;1;1;1;0;0;1;0;0;0
33;Контакт Прасковья Калашникова подтвердил перевод на карту 6345 4434 4149 1699 и прислал ИНН 512827636431 для квитанции.;1;1;0;1;0;1;0;0;0;0
34;Контакт Екатерина Щербакова подтвердил перевод на карту 1321 0972 0217 0754 и прислал ИНН 946408822309 для квитанции.;1;1;0;1;0;1;0;0;0;0
35;Анкета офиса: Вероника Капустина, ИНН 203004496461, номер карты 5658 9635 9570 8619, контактный телефон +7-999-217-36-69, сайт https://secure.bank.ru/cabinet.;1;1;0;1;0;1;1;1;0;0
36;Контакт Филипповна Юлия подтвердил перевод на карту 1043 7968 6800 8529 и прислал ИНН 631138850342 для квитанции.;1;1;0;1;0;1;0;0;0;0
37;Контакт Васильевич Валерий подтвердил перевод на карту 3328 2930 2025 6913 и прислал ИНН 743043502385 для квитанции.;1;1;0;1;0;1;0;0;0;0
38;Представитель Симонов Остромир предоставил свидетельство о браке 21-271344 и СНИЛС 530-245-301 22 для проверки договора.;1;1;0;0;1;0;0;0;1;0
39;Сотрудник Фёкла Колобова проводит оплату по карте 2581 2259 0956 6844 через кабинет https://secure.bank.ru/cabinet и подтверждает заявку звонком на номер +7-919-907-96-70.;1;1;0;0;0;1;1;1;0;0
40;Представитель Петров Вячеслав предоставил свидетельство о браке 29-684640 и СНИЛС 690-170-740 80 для проверки договора.;1;1;0;0;1;0;0;0;1;0
41;Собственник Октябрина Юльевна сообщил кадастровый номер 90:24:516558:6999 и СНИЛС 833-444-704 64 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
42;В обращении указаны паспорт 3620 726768, кадастровый номер 60:86:855186:2526, телефон +7-977-237-13-93 и URL https://secure.university.ru/cabinet владельца Харитонович Эмиль.;1;1;1;0;0;0;1;1;0;1
43;Сотрудник Лукия Дроздова проводит оплату по карте 2112 2121 5481 5826 через кабинет https://secure.university.org/cabinet и подтверждает заявку звонком на номер +7-934-687-78-38.;1;1;0;0;0;1;1;1;0;0
44;Анкета офиса: Дмитрий Костин, ИНН 488064420062, номер карты 6464 1962 3421 9262, контактный телефон +7-999-854-59-91, сайт https://portal.company.ru/cabinet.;1;1;0;1;0;1;1;1;0;0
45;"Клиент Игнатий Третьяков идентифицирован по паспорту 3672 741449 и ИНН 483147891179; связь поддерживается по телефону +7-967-198-93-30.";1;1;1;1;0;0;1;0;0;0
46;В регистрационной форме указано: Дьячков Бронислав, паспорт 6271 762499, телефон +7-989-542-30-68, URL личного кабинета https://www.service.com/cabinet, СНИЛС 692-990-076 68.;1;1;1;0;1;0;1;1;0;0
47;В регистрационной форме указано: Ершова Полина, паспорт 5992 914713, телефон +7-941-825-99-12, URL личного кабинета https://www.service.ru/cabinet, СНИЛС 883-527-918 61.;1;1;1;0;1;0;1;1;0;0
48;Агент Ульяна Дроздова сообщил о семейном статусе по свидетельству 03-566670, предоставил карту 3498 9925 5394 6074 и кадастровый номер 35:81:598261:2339.;1;1;0;0;0;1;0;0;1;1
49;Анкета офиса: Гордеевич Фадей, ИНН 941799670808, номер карты 3984 1673 4785 3698, контактный телефон +7-951-382-19-75, сайт https://secure.company.com/cabinet.;1;1;0;1;0;1;1;1;0;0
50;Представитель Симонов Лавр предоставил свидетельство о браке 95-596738 и СНИЛС 706-648-900 69 для проверки договора.;1;1;0;0;1;0;0;0;1;0
51;"Клиент Власович Венедикт идентифицирован по паспорту 7815 348053 и ИНН 027500030566; связь поддерживается по телефону +7-971-367-82-34.";1;1;1;1;0;0;1;0;0;0
52;Представитель Маслова Маргарита предоставил свидетельство о браке 40-603736 и СНИЛС 865-240-622 14 для проверки договора.;1;1;0;0;1;0;0;0;1;0
53;"В журнале регистраций брак подтверждён свидетельством 92-807900; контактные данные Анастасия Дмитриева и паспорт 7100 726301.";1;1;1;0;0;0;0;0;1;0
54;Собственник Виктория Эдуардовна сообщил кадастровый номер 26:34:403442:9881 и СНИЛС 710-508-054 76 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
55;Собственник Феврония Антоновна сообщил кадастровый номер 42:85:323039:5365 и СНИЛС 133-892-608 60 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
56;Агент Евпраксия Кононова сообщил о семейном статусе по свидетельству 69-724508, предоставил карту 6299 9466 4509 9990 и кадастровый номер 71:44:602992:3734.;1;1;0;0;0;1;0;0;1;1
57;Анкета офиса: Витальевич Филимон, ИНН 352118968442, номер карты 5759 5828 1902 2179, контактный телефон +7-947-548-31-81, сайт https://service.service.org/cabinet.;1;1;0;1;0;1;1;1;0;0
58;"В журнале регистраций брак подтверждён свидетельством 03-873732; контактные данные Елизавета Русакова и паспорт 9664 666700.";1;1;1;0;0;0;0;0;1;0
59;Представитель Светлана Евгеньевна предоставил свидетельство о браке 55-144315 и СНИЛС 515-880-705 24 для проверки договора.;1;1;0;0;1;0;0;0;1;0
60;В обращении указаны паспорт 9765 936345, кадастровый номер 12:84:450551:6322, телефон +7-910-322-98-54 и URL https://lk.shop.com/cabinet владельца Феофанович Леонтий.;1;1;1;0;0;0;1;1;0;1
61;Анкета офиса: Руслановна Лора, ИНН 792551164369, номер карты 6605 3428 1644 1610, контактный телефон +7-969-708-63-93, сайт https://www.service.org/cabinet.;1;1;0;1;0;1;1;1;0;0
62;Агент Артемовна Евфросиния сообщил о семейном статусе по свидетельству 97-791300, предоставил карту 4718 9395 3096 9067 и кадастровый номер 78:81:825672:59.;1;1;0;0;0;1;0;0;1;1
63;Собственник Никита Димитриевич сообщил кадастровый номер 66:29:867870:3835 и СНИЛС 872-717-430 82 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
64;Собственник Виктория Богдановна сообщил кадастровый номер 91:35:204548:9258 и СНИЛС 386-028-262 44 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
65;В обращении указаны паспорт 3614 383873, кадастровый номер 49:68:552587:1626, телефон +7-973-516-36-33 и URL https://secure.company.ru/cabinet владельца Тарасович Харлампий.;1;1;1;0;0;0;1;1;0;1
66;"В журнале регистраций брак подтверждён свидетельством 12-298712; контактные данные Фролович Любомир и паспорт 4524 152701.";1;1;1;0;0;0;0;0;1;0
67;Сотрудник Синклитикия Авдеева проводит оплату по карте 7074 4360 2344 2252 через кабинет https://www.university.ru/cabinet и подтверждает заявку звонком на номер +7-972-271-80-18.;1;1;0;0;0;1;1;1;0;0
68;Агент Фадеевич Мокей сообщил о семейном статусе по свидетельству 12-279022, предоставил карту 0245 5985 1602 1191 и кадастровый номер 56:70:524257:4679.;1;1;0;0;0;1;0;0;1;1
69;Собственник Синклитикия Борисовна сообщил кадастровый номер 17:26:923575:5342 и СНИЛС 884-474-083 56 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
70;В регистрационной форме указано: Олимпиада Леонидовна, паспорт 5564 666579, телефон +7-925-861-72-97, URL личного кабинета https://service.university.ru/cabinet, СНИЛС 654-622-021 21.;1;1;1;0;1;0;1;1;0;0
71;В регистрационной форме указано: Ия Егоровна, паспорт 2474 227211, телефон +7-901-654-53-48, URL личного кабинета https://portal.university.ru/cabinet, СНИЛС 737-989-790 49.;1;1;1;0;1;0;1;1;0;0
72;Сотрудник Рубеновна Нинель проводит оплату по карте 6999 4494 6672 0108 через кабинет https://portal.shop.org/cabinet и подтверждает заявку звонком на номер +7-952-130-67-51.;1;1;0;0;0;1;1;1;0;0
73;Представитель Ратибор Эдгардович предоставил свидетельство о браке 54-172816 и СНИЛС 581-745-273 45 для проверки договора.;1;1;0;0;1;0;0;0;1;0
74;"В журнале регистраций брак подтверждён свидетельством 49-860643; контактные данные Егоровна Татьяна и паспорт 1293 400799.";1;1;1;0;0;0;0;0;1;0
75;Анкета офиса: Куликова тов., ИНН 346019153057, номер карты 2512 7267 0866 6562, контактный телефон +7-962-519-78-31, сайт https://portal.shop.ru/cabinet.;1;1;0;1;0;1;1;1;0;0
76;Сотрудник Любосмысл Гордеев проводит оплату по карте 6682 1215 6495 2549 через кабинет https://portal.company.com/cabinet и подтверждает заявку звонком на номер +7-926-414-16-49.;1;1;0;0;0;1;1;1;0;0
77;"Клиент Жанович Сила идентифицирован по паспорту 2656 803154 и ИНН 973881827306; связь поддерживается по телефону +7-908-640-76-45.";1;1;1;1;0;0;1;0;0;0
78;"В журнале регистраций брак подтверждён свидетельством 06-918596; контактные данные Димитриевич Самуил и паспорт 2940 842636.";1;1;1;0;0;0;0;0;1;0
79;"В журнале регистраций брак подтверждён свидетельством 66-216463; контактные данные Васильевна Анна и паспорт 6812 816956.";1;1;1;0;0;0;0;0;1;0
80;Контакт Вилорович Карп подтвердил перевод на карту 5780 0244 3236 2216 и прислал ИНН 996477183753 для квитанции.;1;1;0;1;0;1;0;0;0;0
81;Агент Аркадьевна Кира сообщил о семейном статусе по свидетельству 29-124730, предоставил карту 3508 4243 1983 9248 и кадастровый номер 02:39:212341:6965.;1;1;0;0;0;1;0;0;1;1
82;Контакт Даниловна Кира подтвердил перевод на карту 0147 6427 8961 5738 и прислал ИНН 053021516758 для квитанции.;1;1;0;1;0;1;0;0;0;0
83;В регистрационной форме указано: Евпраксия Геннадиевна, паспорт 9072 445522, телефон +7-937-905-47-65, URL личного кабинета https://service.company.com/cabinet, СНИЛС 260-972-360 19.;1;1;1;0;1;0;1;1;0;0
84;В регистрационной форме указано: Агата Вениаминовна, паспорт 4766 604526, телефон +7-922-440-43-60, URL личного кабинета https://service.bank.ru/cabinet, СНИЛС 148-572-602 72.;1;1;1;0;1;0;1;1;0;0
85;Контакт Ильясович Всеволод подтвердил перевод на карту 4050 8927 3961 5976 и прислал ИНН 625923868790 для квитанции.;1;1;0;1;0;1;0;0;0;0
86;Анкета офиса: Артурович Фотий, ИНН 789775542619, номер карты 0222 7111 7576 9171, контактный телефон +7-916-566-36-33, сайт https://service.bank.ru/cabinet.;1;1;0;1;0;1;1;1;0;0
87;Собственник Селиверстов Юлий сообщил кадастровый номер 05:38:711637:3249 и СНИЛС 392-202-698 01 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
88;"Клиент Юльевна Валерия идентифицирован по паспорту 4026 533343 и ИНН 724469317294; связь поддерживается по телефону +7-950-874-51-43.";1;1;1;1;0;0;1;0;0;0
89;Собственник Мясникова Клавдия сообщил кадастровый номер 10:48:914355:4904 и СНИЛС 845-397-499 47 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
90;В обращении указаны паспорт 1533 393069, кадастровый номер 32:51:271139:9701, телефон +7-942-452-17-24 и URL https://portal.bank.ru/cabinet владельца Георгиевна Юлия.;1;1;1;0;0;0;1;1;0;1
91;Агент Львовна Галина сообщил о семейном статусе по свидетельству 12-693868, предоставил карту 3763 1774 9542 1062 и кадастровый номер 27:58:458505:1603.;1;1;0;0;0;1;0;0;1;1
92;Анкета офиса: Наина Белякова, ИНН 671317536264, номер карты 7300 9928 4524 0321, контактный телефон +7-903-735-64-25, сайт https://www.shop.org/cabinet.;1;1;0;1;0;1;1;1;0;0
93;Представитель Кудрявцева Екатерина предоставил свидетельство о браке 76-718206 и СНИЛС 247-925-422 11 для проверки договора.;1;1;0;0;1;0;0;0;1;0
94;В обращении указаны паспорт 1936 273989, кадастровый номер 14:69:292257:5779, телефон +7-902-857-75-44 и URL https://portal.bank.com/cabinet владельца Артемьевич Ратибор.;1;1;1;0;0;0;1;1;0;1
95;Агент Романовна Екатерина сообщил о семейном статусе по свидетельству 37-778445, предоставил карту 6627 0266 0450 9563 и кадастровый номер 06:03:852014:3795.;1;1;0;0;0;1;0;0;1;1
96;В обращении указаны паспорт 2226 152326, кадастровый номер 60:23:309594:4447, телефон +7-967-247-69-72 и URL https://www.company.org/cabinet владельца Степановна Нина.;1;1;1;0;0;0;1;1;0;1
97;В регистрационной форме указано: Акулина Михайловна, паспорт 2476 566294, телефон +7-914-866-35-68, URL личного кабинета https://www.shop.com/cabinet, СНИЛС 164-231-654 36.;1;1;1;0;1;0;1;1;0;0
98;В регистрационной форме указано: Воронцов Владлен, паспорт 8231 120733, телефон +7-934-453-64-52, URL личного кабинета https://service.service.org/cabinet, СНИЛС 837-444-172 28.;1;1;1;0;1;0;1;1;0;0
99;Представитель Евгения Васильевна предоставил свидетельство о браке 51-863092 и СНИЛС 216-435-990 04 для проверки договора.;1;1;0;0;1;0;0;0;1;0
100;"Клиент Федосьевич Федор идентифицирован по паспорту 7809 368862 и ИНН 672636815418; связь поддерживается по телефону +7-921-690-24-11.";1;1;1;1;0;0;1;0;0;0
101;Анкета офиса: Витальевич Клавдий, ИНН 730671822266, номер карты 8590 6739 6342 8987, контактный телефон +7-964-541-52-37, сайт https://service.company.org/cabinet.;1;1;0;1;0;1;1;1;0;0
102;"В журнале регистраций брак подтверждён свидетельством 01-659827; контактные данные Ирина Исаева и паспорт 3261 245750.";1;1;1;0;0;0;0;0;1;0
103;Сотрудник Парамон Павлов проводит оплату по карте 5873 0549 8243 8843 через кабинет https://www.bank.org/cabinet и подтверждает заявку звонком на номер +7-976-283-18-88.;1;1;0;0;0;1;1;1;0;0
104;Анкета офиса: Дементий Рябов, ИНН 806643158901, номер карты 0926 4070 3088 0817, контактный телефон +7-999-147-24-70, сайт https://portal.university.ru/cabinet.;1;1;0;1;0;1;1;1;0;0
105;Представитель Лев Бориславович предоставил свидетельство о браке 25-805186 и СНИЛС 741-168-069 87 для проверки договора.;1;1;0;0;1;0;0;0;1;0
106;Анкета офиса: Константиновна Анжелика, ИНН 245870120424, номер карты 2849 7603 9670 2436, контактный телефон +7-958-472-41-11, сайт https://lk.bank.org/cabinet.;1;1;0;1;0;1;1;1;0;0
107;Анкета офиса: Анастасия Панова, ИНН 187540364882, номер карты 2360 6679 9864 9125, контактный телефон +7-951-520-29-35, сайт https://secure.shop.org/cabinet.;1;1;0;1;0;1;1;1;0;0
108;"Клиент Таисия Горбачева идентифицирован по паспорту 4047 734212 и ИНН 862269920666; связь поддерживается по телефону +7-975-715-94-29.";1;1;1;1;0;0;1;0;0;0
109;Агент Елисеевич Кондратий сообщил о семейном статусе по свидетельству 82-984596, предоставил карту 2914 3049 1341 0389 и кадастровый номер 70:61:238826:544.;1;1;0;0;0;1;0;0;1;1
110;Контакт Владислав Котов подтвердил перевод на карту 9629 8056 8201 7530 и прислал ИНН 564224059208 для квитанции.;1;1;0;1;0;1;0;0;0;0
111;Анкета офиса: Мокей Селезнев, ИНН 404347412531, номер карты 1750 3619 2025 9991, контактный телефон +7-963-301-92-31, сайт https://secure.bank.org/cabinet.;1;1;0;1;0;1;1;1;0;0
112;Представитель Елисеев Еремей предоставил свидетельство о браке 10-685466 и СНИЛС 786-235-107 52 для проверки договора.;1;1;0;0;1;0;0;0;1;0
113;В регистрационной форме указано: Станимир Богданович, паспорт 9922 878030, телефон +7-901-834-49-50, URL личного кабинета https://service.bank.org/cabinet, СНИЛС 607-700-409 31.;1;1;1;0;1;0;1;1;0;0
114;В регистрационной форме указано: Борисов Севастьян, паспорт 7542 817742, телефон +7-953-235-35-17, URL личного кабинета https://www.service.ru/cabinet, СНИЛС 164-693-335 92.;1;1;1;0;1;0;1;1;0;0
115;Сотрудник Ефимович Фадей проводит оплату по карте 4722 0539 7077 4544 через кабинет https://service.company.org/cabinet и подтверждает заявку звонком на номер +7-976-771-61-14.;1;1;0;0;0;1;1;1;0;0
116;"Клиент Всемил Павлов идентифицирован по паспорту 8271 887181 и ИНН 146199539467; связь поддерживается по телефону +7-946-337-11-27.";1;1;1;1;0;0;1;0;0;0
117;Анкета офиса: Наина Ермакова, ИНН 281640989103, номер карты 5237 5979 5319 2600, контактный телефон +7-917-123-87-43, сайт https://secure.service.com/cabinet.;1;1;0;1;0;1;1;1;0;0
118;"В журнале регистраций брак подтверждён свидетельством 02-346136; контактные данные Афанасьевна Зинаида и паспорт 6270 370311.";1;1;1;0;0;0;0;0;1;0
119;Анкета офиса: Матвеевна Евпраксия, ИНН 607047266023, номер карты 1671 5605 8790 5224, контактный телефон +7-900-169-66-39, сайт https://lk.company.ru/cabinet.;1;1;0;1;0;1;1;1;0;0
120;Анкета офиса: Адамович Климент, ИНН 645315790571, номер карты 1833 5974 8768 0570, контактный телефон +7-927-539-52-59, сайт https://portal.bank.org/cabinet.;1;1;0;1;0;1;1;1;0;0
121;Собственник Екатерина Антоновна сообщил кадастровый номер 84:19:149004:2240 и СНИЛС 329-732-396 37 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
122;Анкета офиса: Эдгарович Илья, ИНН 914016933284, номер карты 5515 4526 0756 9991, контактный телефон +7-977-109-96-71, сайт https://portal.service.ru/cabinet.;1;1;0;1;0;1;1;1;0;0
123;Представитель Коновалов Кузьма предоставил свидетельство о браке 35-119401 и СНИЛС 680-664-707 00 для проверки договора.;1;1;0;0;1;0;0;0;1;0
124;"Клиент Аркадьевна Зоя идентифицирован по паспорту 9295 275116 и ИНН 676259062003; связь поддерживается по телефону +7-957-373-50-86.";1;1;1;1;0;0;1;0;0;0
125;Сотрудник Эльдаровна Алина проводит оплату по карте 3400 1276 2239 8474 через кабинет https://portal.bank.com/cabinet и подтверждает заявку звонком на номер +7-978-395-81-53.;1;1;0;0;0;1;1;1;0;0
126;Сотрудник Наталья Корнилова проводит оплату по карте 7998 4605 8679 4963 через кабинет https://secure.bank.ru/cabinet и подтверждает заявку звонком на номер +7-982-478-61-49.;1;1;0;0;0;1;1;1;0;0
127;В обращении указаны паспорт 1830 980185, кадастровый номер 88:08:474775:1169, телефон +7-966-508-51-51 и URL https://secure.university.org/cabinet владельца Константиновна Ирина.;1;1;1;0;0;0;1;1;0;1
128;Собственник Зиновий Иосипович сообщил кадастровый номер 94:07:666815:8761 и СНИЛС 740-233-868 54 для сверки в Росреестре.;1;1;0;0;1;0;0;0;0;1
129;"Клиент Дорофеевич Август идентифицирован по паспорту 1498 738282 и ИНН 413490961979; связь поддерживается по телефону +7-926-471-59-88.";1;1;1;1;0;0;1;0;0;0
130;Агент Вячеслав Потапов сообщил о семейном статусе по свидетельству 21-311253, предоставил карту 9777 4867 5951 4186 и кадастровый номер 01:65:647338:2116.;1;1;0;0;0;1;0;0;1;1
131;В обращении указаны паспорт 6242 924922, кадастровый номер 47:44:690480:5119, телефон +7-937-628-36-22 и URL https://portal.shop.ru/cabinet владельца Рубеновна Агата.;1;1;1;0;0;0;1;1;0;1
132;Контакт Ульяна Степанова подтвердил перевод на карту 4870 8477 9541 7675 и прислал ИНН 062327237179 для квитанции.;1;1;0;1;0;1;0;0;0;0
133;В регистрационной форме указано: Меркушев Аким, паспорт 4442 585248, телефон +7-970-624-66-62, URL личного кабинета https://www.shop.org/cabinet, СНИЛС 589-626-838 33.;1;1;1;0;1;0;1;1;0;0
134;"Клиент Татьяна Панфилова идентифицирован по паспорту 9568 774837 и ИНН 618207066901; связь поддерживается по телефону +7-949-666-87-39.";1;1;1;1;0;0;1;0;0;0
135;В регистрационной форме указано: Евдокия Оскаровна, паспорт 8976 563742, телефон +7-990-941-45-43, URL личного кабинета https://lk.company.ru/cabinet, СНИЛС 521-879-938 35.;1;1;1;0;1;0;1;1;0;0
136;Контакт Яковлевна Татьяна подтвердил перевод на карту 4016 3295 7378 3159 и прислал ИНН 097797802344 для квитанции.;1;1;0;1;0;1;0;0;0;0
137;Агент Алина Петрова сообщил о семейном статусе по свидетельству 37-781890, предоставил карту 3966 0734 4674 6215 и кадастровый номер 11:81:610715:4387.;1;1;0;0;0;1;0;0;1;1
138;"В журнале регистраций брак подтверждён свидетельством 04-703075; контактные данные Геннадиевич Валерьян и паспорт 2882 545324.";1;1;1;0;0;0;0;0;1;0
139;Анкета офиса: Денис Шилов, ИНН 366771966661, номер карты 4998 0137 6836 7590, контактный телефон +7-917-796-99-38, сайт https://www.university.com/cabinet.;1;1;0;1;0;1;1;1;0;0
140;"В журнале регистраций брак подтверждён свидетельством 06-127604; контактные данные Федотович Сигизмунд и паспорт 7612 226141.";1;1;1;0;0;0;0;0;1;0
141;Представитель Евдокимова Полина предоставил свидетельство о браке 18-821633 и СНИЛС 390-473-314 46 для проверки договора.;1;1;0;0;1;0;0;0;1;0
142;"Клиент Брониславович Авксентий идентифицирован по паспорту 5676 355705 и ИНН 776618308580; связь поддерживается по телефону +7-941-194-18-42.";1;1;1;1;0;0;1;0;0;0
143;В обращении указаны паспорт 7660 773515, кадастровый номер 73:19:120020:1564, телефон +7-942-762-98-52 и URL https://www.shop.com/cabinet владельца Иосифович Спиридон.;1;1;1;0;0;0;1;1;0;1
144;Анкета офиса: Анжела Белякова, ИНН 382222400539, номер карты 1348 4339 1332 5286, контактный телефон +7-994-728-15-19, сайт https://www.bank.ru/cabinet.;1;1;0;1;0;1;1;1;0;0
145;"В журнале регистраций брак подтверждён свидетельством 43-690055; контактные данные Васильевич Каллистрат и паспорт 6460 232372.";1;1;1;0;0;0;0;0;1;0
146;В обращении указаны паспорт 7057 925789, кадастровый номер 11:21:772088:7499, телефон +7-992-425-95-39 и URL https://portal.shop.ru/cabinet владельца Иларионович Василий.;1;1;1;0;0;0;1;1;0;1
147;"В журнале регистраций брак подтверждён свидетельством 27-597008; контактные данные Любомир Мельников и паспорт 4219 881133.";1;1;1;0;0;0;0;0;1;0
148;Сотрудник Никифоровна Екатерина проводит оплату по карте 4292 6456 3391 7299 через кабинет https://lk.company.ru/cabinet и подтверждает заявку звонком на номер +7-956-506-33-51.;1;1;0;0;0;1;1;1;0;0
149;Анкета офиса: Юрьевна Анастасия, ИНН 664971967068, номер карты 1639 9490 1333 4437, контактный телефон +7-921-458-83-13, сайт https://service.university.org/cabinet.;1;1;0;1;0;1;1;1;0;0
